[10 lapkritis 2015 at 10:25:54 EET] - ::inter 1011
[10 lapkritis 2015 at 10:27:07 EET] - ::inter 1011
[10 lapkritis 2015 at 10:27:43 EET] - ::inter 1011
[10 lapkritis 2015 at 10:28:38 EET] - ::var 4861 1
[10 lapkritis 2015 at 10:28:40 EET] - ::var 4861 20
[10 lapkritis 2015 at 10:28:57 EET] - ::var 4861 2200
[10 lapkritis 2015 at 10:29:04 EET] - ::varbit 4861 20
[10 lapkritis 2015 at 10:29:06 EET] - ::varbit 4861 20
[10 lapkritis 2015 at 10:29:07 EET] - ::varbit 4861 20
[10 lapkritis 2015 at 10:29:09 EET] - ::varbit 4861 50
[10 lapkritis 2015 at 10:29:13 EET] - ::varbit 4861 500
[10 lapkritis 2015 at 10:29:15 EET] - ::varbit 4861 1
[10 lapkritis 2015 at 10:29:17 EET] - ::varbit 4861 -1
[10 lapkritis 2015 at 10:29:20 EET] - ::varbit 4861 1
[10 lapkritis 2015 at 10:29:20 EET] - ::varbit 4861 2
[10 lapkritis 2015 at 10:29:21 EET] - ::varbit 4861 3
[10 lapkritis 2015 at 10:29:22 EET] - ::varbit 4861 4
[10 lapkritis 2015 at 10:29:23 EET] - ::varbit 4861 5
[10 lapkritis 2015 at 10:29:23 EET] - ::varbit 4861 6
[10 lapkritis 2015 at 10:29:25 EET] - ::varbit 4861 7
[10 lapkritis 2015 at 10:29:26 EET] - ::varbit 4861 80
[10 lapkritis 2015 at 10:29:28 EET] - ::varbit 4861 80
[10 lapkritis 2015 at 10:29:44 EET] - ::varbit 13118 2
[10 lapkritis 2015 at 10:29:45 EET] - ::varbit 13118 1
[10 lapkritis 2015 at 10:29:47 EET] - ::varbit 13118 2
[10 lapkritis 2015 at 10:29:48 EET] - ::varbit 13118 3
[10 lapkritis 2015 at 10:29:49 EET] - ::varbit 13118 4
[10 lapkritis 2015 at 10:29:49 EET] - ::varbit 13118 5
[10 lapkritis 2015 at 10:29:55 EET] - ::varbit 13118 6
[10 lapkritis 2015 at 10:29:55 EET] - ::varbit 13118 7
[10 lapkritis 2015 at 10:30:02 EET] - ::inter 1011
[10 lapkritis 2015 at 10:30:03 EET] - ::inter 1011
[10 lapkritis 2015 at 10:30:05 EET] - ::inter 1011
[10 lapkritis 2015 at 10:30:07 EET] - ::inter 1011
[10 lapkritis 2015 at 10:30:14 EET] - ::varbit 13118 20
[10 lapkritis 2015 at 10:30:16 EET] - ::varbit 13118 1
[10 lapkritis 2015 at 10:30:17 EET] - ::varbit 13118 0
[10 lapkritis 2015 at 10:30:18 EET] - ::varbit 13118 -1
[10 lapkritis 2015 at 10:30:21 EET] - ::varbit 13118 1
[10 lapkritis 2015 at 10:30:21 EET] - ::varbit 13118 2
[10 lapkritis 2015 at 10:30:22 EET] - ::varbit 13118 3
[10 lapkritis 2015 at 10:30:23 EET] - ::varbit 13118 4
[10 lapkritis 2015 at 10:30:24 EET] - ::varbit 13118 5
[10 lapkritis 2015 at 10:30:25 EET] - ::varbit 13118 6
[10 lapkritis 2015 at 10:30:25 EET] - ::varbit 13118 7
[10 lapkritis 2015 at 10:30:26 EET] - ::varbit 13118 8
[10 lapkritis 2015 at 10:30:27 EET] - ::varbit 13118 9
[10 lapkritis 2015 at 10:30:28 EET] - ::varbit 13118 10
[10 lapkritis 2015 at 10:30:29 EET] - ::varbit 13118 11
[10 lapkritis 2015 at 10:30:30 EET] - ::varbit 13118 12
[10 lapkritis 2015 at 10:30:30 EET] - ::varbit 13118 13
[10 lapkritis 2015 at 10:30:31 EET] - ::varbit 13118 14
[10 lapkritis 2015 at 10:30:32 EET] - ::varbit 13118 1
[10 lapkritis 2015 at 10:30:33 EET] - ::varbit 13118 15
[10 lapkritis 2015 at 10:30:34 EET] - ::varbit 13118 16
[10 lapkritis 2015 at 10:30:35 EET] - ::varbit 13118 17
[10 lapkritis 2015 at 10:30:35 EET] - ::varbit 13118 18
[10 lapkritis 2015 at 10:30:36 EET] - ::varbit 13118 19
[10 lapkritis 2015 at 10:30:37 EET] - ::varbit 13118 20
[10 lapkritis 2015 at 10:30:38 EET] - ::varbit 13118 21
[10 lapkritis 2015 at 10:30:39 EET] - ::varbit 13118 22
[10 lapkritis 2015 at 10:30:40 EET] - ::varbit 13118 23
